iris,taux_pauvrete_pre,com
130050403,15.299900010042435,13005
130050501,13.904974206804456,13005
130050502,24.089608348710176,13005
130050601,6.9173589377679825,13005
130050602,,13005
130050701,7.097405775819873,13005
130050702,,13005
130050705,11.087923290837791,13005
130140102,14.8158119604168,13014
130140103,25.129725766295213,13014
130140104,13.41187911453193,13014
130140106,,13014
130270101,17.8673067655297,13027
130270102,18.026241273440867,13027
130270103,,13027
130270104,,13027
130270105,34.87743027560704,13027
130270106,14.799409425251548,13027
130470101,9.839942947924273,13047
130470102,27.187833242308816,13047
130470103,17.768950488685864,13047
130470104,8.815950320830236,13047
130470105,,13047
130470106,16.708193349963,13047
130470108,,13047
130470109,14.428963584743721,13047
130470110,8.745173347232065,13047
130470111,16.64954236097752,13047
130470112,8.495073817188716,13047
130470113,9.892845669004684,13047
130470114,7.130624318854117,13047
130470116,20.38845299388227,13047
130540101,,13054
130540102,10.972896350784891,13054
130540104,13.020286973972459,13054
130540105,9.174444084046861,13054
130540106,40.9631092431372,13054
130540107,12.669561615821188,13054
130540108,14.504971050790706,13054
130540109,9.842218659938817,13054
130540110,11.607157784208626,13054
130540111,34.44789966737859,13054
130540112,29.721739704200875,13054
130540113,,13054
130540114,9.584173342170702,13054
130540115,28.847552393916743,13054
130560101,9.758844396111513,13056
130560102,,13056
130560103,,13056
130560104,7.118998293364008,13056
130560105,24.83388895554394,13056
130560106,18.167616752689344,13056
130560107,12.099509040750135,13056
130560108,23.564754059055105,13056
130560109,26.593037046902435,13056
130560110,14.001706284415661,13056
130560111,,13056
130560113,,13056
130560114,6.919120665772154,13056
130560115,7.86302133277248,13056
130560116,,13056
130560118,24.07217361111495,13056
130630101,8.094380606884215,13063
130630102,38.71867469228525,13063
130630103,40.73437265158042,13063
130630104,12.01130155046753,13063
130630105,31.38277127909215,13063
130630106,19.13288811959492,13063
130630108,10.31562740569669,13063
130630109,12.470908342572983,13063
130770101,35.7097591888466,13077
130770102,20.82815243660934,13077
130770103,33.819026875590886,13077
130770104,21.83307223289926,13077
130770105,20.265756443143392,13077
130770106,,13077
131030101,17.406384036818714,13103
131030102,10.365786080699683,13103
131030103,20.202906263613283,13103
131030104,20.81039121961125,13103
131030105,29.305716208890185,13103
131030107,11.231674901525935,13103
131030108,17.31312892528208,13103
131030109,10.073008474557424,13103
131030110,11.62128078975288,13103
131030112,12.803754565199872,13103
131030113,8.542854176055222,13103
131030114,6.247303245422388,13103
131030115,8.99980530690551,13103
131060101,18.5089223252674,13106
131060102,7.957513494689186,13106
131060103,8.347612478423828,13106
131060104,,13106
131080101,19.051409774796515,13108
131080102,18.832951323261526,13108
131080103,20.58601135079073,13108
131080104,45.97207826150021,13108
131080105,48.744145933247005,13108
131170101,14.884269616943959,13117
131170102,25.165314021064507,13117
131170103,44.04569632702883,13117
131170104,28.907211004216062,13117
131170105,14.433604885995395,13117
131170106,14.6102761272282,13117
131170107,20.99779015360201,13117
131170108,,13117
131170109,,13117
131170110,8.3199526917969,13117
131170202,,13117
131170203,10.362903571457077,13117
131170204,,13117
131170205,10.606702894691468,13117
131170209,15.251867161676797,13117
141180101,13.589935609966522,14118
141180102,16.70325886378855,14118
141180201,12.767793977474177,14118
141180202,,14118
141180301,11.802215672455608,14118
141180302,16.7392164622082,14118
141180303,14.954936820470898,14118
141180401,,14118
141180501,,14118
141180502,,14118
141180601,10.172696584371794,14118
141180701,,14118
141180702,,14118
141180801,,14118
141180802,9.61747386505953,14118
141180803,13.290882849787158,14118
141180804,10.219859869533703,14118
141180902,49.67553311602085,14118
141180903,13.2522796352584,14118
141180904,38.22138317729249,14118
141181001,12.400681044267875,14118
141181101,10.777167740831004,14118
141181102,,14118
141181202,,14118
141181402,11.270597029588693,14118
141181501,29.802204178313236,14118
141181502,15.373755796939404,14118
141181503,12.942467216523758,14118
141181601,14.8200926255789,14118
141181701,18.32060450378488,14118
141181702,14.917582347158188,14118
141181703,12.564667378213185,14118
141181704,,14118
141181801,52.8509036854486,14118
141181802,,14118
141181901,48.19037580126071,14118
141181902,12.938319332379878,14118
141181903,34.45008630056892,14118
