code,taux_pauvrete_pre,nom_qp,insee_com,lib_com
QP094005,36.266666666666666,Mont Mesly - La Habette - Coteaux Du Sud,94028,Créteil
QP094007,29.733333333333334,Les Bleuets,94028,Créteil
QP094008,36.36666666666667,Gagarine,94041,Ivry-sur-Seine
QP094009,47.300000000000004,Ivry Port,94041,Ivry-sur-Seine
QP094010,37.46666666666667,Monmousseau,94041,Ivry-sur-Seine
QP094011,30.96666666666667,Colonel Fabien,94081,Vitry-sur-Seine
QP094012,33.766666666666666,Centre Ville : Defresne - Vilmorin - Robespierre,94081,Vitry-sur-Seine
QP094013,33.266666666666666,Commune De Paris - 8 Mai 1945,94081,Vitry-sur-Seine
QP094015,36.699999999999996,Péri - Schuman  Bergonié,94037; 94043,Gentilly; Le Kremlin-Bicêtre
QP094016,27.733333333333334,Chaperon Vert,94003; 94037,Arcueil; Gentilly
QP094017,28.833333333333332,Jardins Parisiens,94038,L'Haÿ-les-Roses
QP094018,33.96666666666666,Lallier,94021; 94038,Chevilly-Larue; L'Haÿ-les-Roses
QP094019,38.23333333333333,Jardins Parisiens - Stade,94038,L'Haÿ-les-Roses
QP094020,34.333333333333336,Alexandre Dumas,94076,Villejuif
QP094021,35.06666666666667,Lebon - Hochart - Mermoz (Lozaits Sud),94038; 94076,L'Haÿ-les-Roses; Villejuif
QP094022,31.96666666666667,Lozaits Nord - Grimau - Armand Gouret,94076,Villejuif
QP094023,35.766666666666666,Fabien,94011,Bonneuil-sur-Marne
QP094024,36.63333333333333,Les Quatre Cités,94017,Champigny-sur-Marne
QP094025,67.06666666666666,L'Egalité,94017,Champigny-sur-Marne
QP094026,36.0,Les Mordacs,94017,Champigny-sur-Marne
QP094027,37.833333333333336,Le Bois L'Abbé,94017; 94019,Champigny-sur-Marne; Chennevières-sur-Marne
QP094028,37.233333333333334,Le Plateau,94017,Champigny-sur-Marne
QP094029,36.333333333333336,La Redoute (Le Fort-Michelet),94033,Fontenay-sous-Bois
QP094030,34.6,Les Larris,94033,Fontenay-sous-Bois
QP094031,28.599999999999998,Quartier Est,94054,Orly
QP094032,37.06666666666666,Quartier Sud,94022,Choisy-le-Roi
QP094033,33.0,Rives De La Marne,94068,Saint-Maur-des-Fossés
QP094035,34.833333333333336,Polognes-Centre Ville - Le Plateau - Saint-Martin,94044; 94074; 94078,Limeil-Brévannes; Valenton; Villeneuve-Saint-Georges
QP094036,34.666666666666664,Lutèce- Bergerie,94074,Valenton
